index,content
1,硅谷 周报 课堂 互动 工具 Kahoot 融资 1700 万美元 估值 达 亿美元
2,积云教育 获 正保远程教育 数千万 A轮 融资 发力 IT 职业教育
3,投资 笔记 2018 教育 投资 31 亿元 再创 历史 新高
4,23 家 企业 40 多亿 腾讯 加码 教育 投资
5,英语 神童 获 Pre 轮 投资 投资方 蓝湖资本
6,英语 流利 说 纪源资本 投资
7,巨人教育 融资 200 万美元 民办教育 获风 投 青睐
8,消息 称 51Talk B轮 千万美元 融资 顺为 领投
9,i DoNews 业内 说 51Talk 融资 200 万美元 一步
10,贝乐学科英语 A轮 融资 天图资本 独投 亿元
11,红黄蓝 B轮 200 万美元 融资
12,龙文 投 5000 万 做 在线教育 培训 巨头 在线 业务 六大 挑战
13,龙文 疯狂 融资 背后 VC 难 教育 企业 获 期望 回报 20 12 04 09 16 53 创业家 佚名
14,中国 少儿英语 第一股 上市 宏图
15,龙文教育 融资 神话 篇 4.5 亿元 人民币 巨额 联姻
16,收购 投资 贝恩资本 入驻 瑞思学科 英语
17,微谷中国 获 A轮 亿元 融资 发力 建设 师资队伍
18,华图教育 IPO 正式 启动 达晨创投 潜伏 曙光 前
19,正保远程教育 今晚 赴美 上市 融资 12 万美元
20,51Talk 黄佳佳 多钱
21,芥末堆 首发 宝宝树 获 好未来 1.5 亿元 战略 投资
22,在线教育 平台 Curious.com B轮 融资 1500 万美元
23,芥末堆 首发 亿美金 阿里 启明 淡马锡 B轮 VIPABC
24,语言 学习 平台 Duolingo C轮 200 万美元 融资
25,黄佳佳 内部 信 阿里 亿美金 51Talk 一份 心
26,Tutorgro 阿里 亿美金 融资 野心 技术 平台
27,芥末堆 首发 真朴教育 获 美金 融资 做 性感 东方教育集团
28,投融资 谷歌 首投 在线教育 软件 领域 Renaissance
29,芥末 更新 泛IT学科 在线教育 平台 开课 获 200 万美元 A轮 融资
30,世界 创业 教育 公司 General Assembly 获 3500 万美元 C轮 融资
31,世界 Ingram Content Gro 收购 电子 教科书 运营商 CourseSmart
32,世界 学习 公司 Quipper 获 58 万美元 融资 一步 重点 亚洲 市场
33,短讯 学大教育 管理层 回购 200 万股 未登记 普通股
34,在线 计算 教育 网站 泡面 获 百万 级 融资
35,家庭作业 学霸君 获 淡马锡 500 万美元 融资
36,拍照 答题 公司 快乐学 获 500 万美元 融资
37,SBI 软银 投资 在线教育 TutorGroup
38,在线视频 语言 教学 平台 Fluentify 获 41 万美元 天使投资
39,芥末 服务 融资 乐教云拟 融资 1000 万 出让 20% 股份
40,少儿 机器人 教育 乐博乐博 获 真格基金 千万元 投资
41,社会化 写作 平台 Wattpad 新融 4600 万美元 用于 全球 扩张 杨致远 跟投
42,好学 教育 和君咨询 数千万元 投资
43,留学 申请 指导 平台 ChaseFuture 获 40 万美元 种子 融资
44,短讯 爱考拉 获 IDG资本 千万元 A轮 投资
45,决胜 获资 亿 用于 收购 业务
46,短讯 儿童 学习 平台 Fingerprint B轮 1085 万美元 融资
47,红杉资本 领投 教育 初创 企业 Clever 获 1030 万美元 A轮 融资
48,短讯 百度 出手 千万美元 投资 万学教育
49,短讯 鹦鹉螺 云 教室 获 数千万元 投资 连接 一线 教师 三四 线 市场
50,作业 获 C轮 融资 200 万美元 三家 合投
51,芥末 服务 融资 网拟 融资 200 万 出让 15% 股份
52,短讯 ChineseSkill 获 数百万 人民币 天使 融资
53,短讯 猿题库 C轮 1500 万美元 融资
54,芥末堆 首发 魔方英语 获 策源创投 A轮 数百万美元 投资
55,短讯 IT 职业教育 平台 麦可网 获 A轮 千万级 投资
56,世界 Edmodo 再融资 3000 万美元 上市
57,短讯 启迪控股 战略 投资 巨人教育集团 刘全友 出任 总裁
58,芥末 服务 融资 麦学习 云 平台 拟 融资 500 万 出让 10% 股份
59,短讯 东方华尔 获 825 产业 基金 战略 投资
60,短讯 LTG 获 好未来 300 万美元 A轮 融资
61,短讯 全通教育 亿设 教育 基础设施 投资 公司
62,短讯 邢帅教育 B轮 融资 3000 万美金
63,世界 Pluralsight 获 1.35 亿美元 融资 估值 10 亿美元
64,短讯 国际 游学 平台 米豆 百万美元 天使轮融资
65,短讯 极客学院 获 200 万美元 B轮 融资 对标 美国 plurasight
66,短讯 优择世通教育投资有限公司 获 融资 200 万 完善 产业链
67,世界 德国 众包 教辅 平台 Sofatutor 获 350 万 欧元 融资
68,智课网 获 百度 1060 万美元 A轮 投资
69,短讯 硅谷天堂 基金 买入 亿童文教 200 万股
70,短讯 360 教育 500 万元 控股 AEIS 考试 培训网
71,世界 Udacity 获 融资 3500 万美元 推 nanodegrees
72,短讯 魔方格 获 千万美元 A轮 融资 做 社交 类 家庭作业 问答 平台 加大 互联网 拓展
73,OSMO 融资 200 万美元 映射 性 AI 技术 辅助 游戏 创意
74,芥末堆 首发 佳一教育 获 江苏 高新创投 千万级 人民币 A轮 融资
75,芥末堆 首发 计蒜客 获 紫辉创投 数千万 人民币 pre A轮 投资
76,51Talk C轮 融资 5500 万美元 红杉 领投
77,短讯 CRM 软件 提供商 快客QuickERM 获 百万元 天使投资
78,短讯 新南洋 发布 对外 投资 公告 昂立投资 增资 3000 万元
79,鲨鱼公园 凯旋创投 好未来教育集团 战略 投资
80,山姆大叔少儿英语 融资 3000 万元 抱团 谋划 新 三板
81,铁皮人科技 获 毅达资本 数千万 级 A轮 投资
82,中信资本 收购 学尔森
83,短讯 奇迹曼特 好未来 千万级 战略 投资
84,短讯 陪读 学堂 获 同创伟业 千万元 A轮 投资
85,赢 职场 获 国科嘉和 3500 万 A轮 投资 未来 平台 服务 方式 盈利
86,短讯 教育 分发 平台 Clever 获 3000 万美元 B轮 融资
87,语音 技术 服务商 云知声 获 5000 万美元 B轮 融资
88,果壳网 获 好未来 200 万美元 C轮 融资 发力 在线教育
89,母婴 产业 爆发 宝宝树 投资 早教 App 叽里呱啦
90,YY 双 12 1.2 亿元 捡漏 收购 环球网校 在线教育 产业布局 露 端倪
91,短讯 天舟文化 拟 4000 万 入股 麦 在线 打造 幼儿 O2O 平台
92,学堂 在线 获 1500 万美金 A轮 融资 加大 研发 投入
93,易题库 获 腾讯 数千万元 A轮 投资 企鹅 90 团队
94,网龙 在线教育 子公司 贝斯特 近日 5250 万美元 A轮 融资
95,台湾 在线 直播 平台 LIVEhouse.in 获 4000 万 新台币 pre 融资
96,学习宝 获 B轮 200 万美元 融资 推 音频 讲解 转 师生 连接 平台
97,一款 功利 单词 软件 贝壳 单词 获 50 万 天使投资
98,Lynda 获 1.86 亿美元 融资 估值 10 亿 一步 买买 买
99,短讯 童伴教育 获 洪泰基金 领投 500 万元 天使轮融资 欲 国内 家庭 互联网服务 运营商
100,ATA 战略 投资 测测 SAT 拓展 留学 市场
101,美国 编程 教学 平台 CodeHS 获 180 万美元 种子轮 融资
102,芥末堆 首发 作业 网 D轮 融资 亿美金 H Capital领投
103,热点 事件 语法 教学 NoRedInk 获 A轮 600 万美元 投资
104,清大世纪 获 RRJ资本 4900 万美元 ​ 投资 启动 IPO ​ 预计 2015 上市 ​
105,同济 教育 1000 万元 入股 中人 教育
106,新南洋 1.3 亿投 教育 基金 增持
107,小站教育 获 雷军 顺为资本 领投 3000 万美金 留学 业务
108,教育 导航 网站 搜学宝 获 百万元 天使 融资
109,香港 语言 培训 机构 Gowell 获 100 万美元 天使轮 投资
110,世界 韩国 教育 SNS 社区 Classting B轮 35 亿韩元 融资
111,弹 钢琴 陪练 获 红杉资本 数百万美元 A轮 融资
112,康佳集团 欲 打造 在线教育 生态 链 首战 投资 学前教育 诺贝儿
113,家园 互动 APP 贝聊 获 数百万美元 A轮 投资
114,Fitbit 个性化 健身 教学 app Fitstar 支付 1780 万美元 收购 金
115,小站教育 获 2900 万美元 B轮 融资 下游 留学 领域 延伸
116,口语 100 数千万元 B轮 融资 新东方领投
117,猿题库 获 D轮 6000 万美元 融资 题库 竞争 更趋 白热化
118,高校 师生 互动 作业 平台 课堂 派 获 华创盛景 数百万 天使投资
119,想 做 留学 垂直 社区 游子 曰 获 800 万 Pre 轮 融资
120,百度 投资 以色列 智能 乐谱 Tonara 中国 做 在线 音乐教育
121,垂直 教育 O2O 平台 美术宝 获 蓝驰创投领投 460 万美金 A轮 融资
122,主打 英语 学习 工具 知米 英语 获 数百万 美金 Pre A轮 融资
123,芥末堆 首发 轻轻家教 获 好未来 B+轮融资 一步 城市 扩张
124,儿童教育 游戏 开发商 骄阳星天纪 近日 获 百万 级 天使投资
125,新东方 联合 乐博乐博 开启 素质教育 空间 孵化
126,职业 发展 服务平台 乔布堂 获 美金 A轮 融资
127,户外 早教 O2O 平台 Tinkergarten 获 50 万美元 天使 融资
128,好未来 投资 小伴龙 深度 挖掘 儿童 教育领域
129,开放式 在线教育 网站 Udemy 获 Stripe s Gro 6500 万美元 D轮 融资
130,中学生 素质教育 平台 卓识 成就 获 成为资本 500 万美元 融资
131,专注 做 内容 乐乐课堂 获 500 万美元 A轮 融资 晨兴资本 领投
132,优酷土豆 战略 投资 容艺教育 文创 产业 造
133,师全师 美获 千万美元 A轮 融资 改名 老师
134,少年商学院 首次 融资 未来 重点 放在 端
135,IT 在线教育 网站 北风 网获 6400 万元 B轮投资 重点 开发 高校 市场
136,明师教育 获 亿元 B轮 融资 向线 转型
137,学霸君 获 5000 万美元 B 轮 融资 月份 将会 推 出新 产品 形式 上要 轻于 猿辅导
138,疯狂 老师 获 腾讯 200 万美金 B轮 融资 扩展 全国 市场
139,幼教 服务商 慧沃 获 1.2 亿元 B轮 融资 发力 渠道 内容
140,凡学教育 1000 万美金 A轮 融资 欲 打造 儿童 阅读 平台
141,未来 教育集团 美 申请 IPO 拟 募资 千万美元
142,立思辰 拟 200 万 投资 语音 技术 提供商 凌声芯 进一步 整合 旗下 教育 业务
143,科技 内容 新 玩法 生产 一本 童书 Lost My Name 获 Google 领投 900 万美元
144,达内科技 获 KKR 注资 韩少云 增持
145,早教 工具 Brightwheel 220 万美元 种子轮 融资
146,语言 学习 服务 Babbel C轮 200 万美元 融资
147,幼儿 共育 APP 娃娃 获 融资 风口
148,殊途同归 K1 好未来 投资 作业盒子 一步 进校
149,凯美特气 拟以 现金 方式 收购 习习网络 松特高新 100% 股权 教育 行业
150,宝宝树 亿美元 等额 融资 聚美优品 领投
151,疯狂 老师 获 2400 万美金 B+轮融资 教育 O2O 疯狂
152,贝乐学科英语 亿 人民币 B轮 融资
153,异乡 好居获 利欧集团 1500 万 融资 布局 留学 产业链
154,易观企业教育 获 A轮 4000 万 投资 欲 启动 上市 计划
155,方直科技 拟募 亿 用于 教学 研 云和 同步 资源 学习 系统
156,高思教育 获 九鼎 战略 投资 布局 K1 教育
157,好未来 1800 万美金 投资 O2O 平台 顺顺留学 开放 整合 产业链 资源
158,啄木鸟教育 获 200 万美元 战略 投资 东方港湾 首次 涉足 教育
159,专注 AR 儿童 玩教 品牌 小熊尼奥 获 A轮 1.2 亿 融资
160,罗辑思维 B轮 融资 俞敏洪 张邦鑫 投资人
161,丢思 享会 联接 美国 亚洲 做 全球化 教育科技 公司
162,学生 背后 家长 家长 获 600 万元 天使 融资
163,沪江 获 汉能 软银 10 亿 人民币 D 轮 融资 开启 进校 计划
164,Knewton 新一轮 融资 金额 4725 万美元
165,K1 教学管理 平台 MasteryConnect 扎克伯格 500 万美元 投资
166,周源 确认 知乎 获 腾讯 C轮 融资 称 估值 肯定 亿美元
167,学堂 在线 A+轮 融资 1760 万美元 职业 方向 发展
168,小站教育 获超 6000 万美元 C轮 融资 年内 融资额 亿美元
169,狸米 学习 获 北极光 数百万 美金 天使轮融资 小学 数学 切入 公立 校
170,宝宝巴士 获 4000 万 B轮 融资 曹允东 领投
171,终于 迎来 教育领域 独角兽 Udacity D 轮 1.05 亿美元 融资
172,鼓励 大学 Make Schoo l 拿到 融资 希望 中学生 拥有 独立 制作 APP 能力
173,创业 五年 三级跳 慧科教育 亿元 B 轮 融资 构建 高教 职教 生态
174,星天乐园 获 千万级 Pre A轮 融资 游戏 中 启蒙教育
175,小站教育 获超 7000 万美元 C轮 融资 红杉资本 领投 此前 投资方 比例 跟投 加倍
176,B C 学习 平台 Knewton 获 200 万美元 融资
177,Quizlet 获 200 万美金 轮 融资 目标 覆盖 10 亿 学生
178,佳一教育 投资 英国 EZ Education 开启 国际化 路
179,爱早教 获 千万元 轮 投资 解决 课程 点评 APP 核心 痛点
180,The Noodle Companies 融资 2800 万美元 进军 K1 市场
181,链接 手腕 手掌 儿童 云 平台 童伴 获 新东方 数千万 A轮 融资
182,在线教育 平台 阿凡题 B 轮 6000 万美元 融资
183,印度 大数 教学 网站 Jigsaw Academy 获 300 万美元 A轮 融资
184,艾普菲 获 智慧树 战略 投资 拟 社区 拓展 全国 业务 推 大规模 在线 教学
185,重构 K1 一对一 培训 前 学大 高管 创立 致优教育 获 6000 万 A轮 融资
