title,create_time,link,content,source,funding_round
全国政协常委张连起谈个税改革：月薪1万元左右基本不用交税,2019-03-10 09:39:25,https://www.thepaper.cn/newsDetail_forward_3106571,今年1月1日起，新个税法全面实行，六项专项附加扣除，可以在税前予以扣除。全国政协常委、中国税务学会副会长张连起在“委员讲堂”上表示：“这次改革之后我算了一下，基本减除5000元后，有6000多万免交税，再加上六项专项附加扣除，月薪在10000元左右的基本不用交税了。”（澎湃）,36Kr,未透露
人大代表：高铁手机信号弱有待改进，应免费覆盖WiFi,2019-03-10 09:34:39,https://www.thepaper.cn/newsDetail_forward_3106362,今年全国“两会”期间，全国人大代表、民革吉林省委副主委郭乃硕向大会提交了“关于切实提高高铁配套服务质量的建议”。郭乃硕在建议中列举道，一是高铁上手机信号弱问题，二是高铁WiFi不能全面覆盖问题，三是自动检票机有待改进问题，四是票价偏高问题，五是饮食、医务、服务态度等相关问题。（澎湃）,澎湃,未透露
国家税务总局：新个人所得税法实施后，个税零申报也有纳税记录,2019-02-16 13:13:54,,国家税务总局称，纳税人2019年1月1日以后取得应税所得并由扣缴义务人向税务机关办理了全员全额扣缴申报，或根据税法规定自行向税务机关办理纳税申报的，不论是否实际缴纳税款，均可以申请开具个人所得税《纳税记录》。也就是说，即便是零申报，均在纳税记录中连续记载。,36Kr,未透露
国家版权局：春节档院线电影盗版传播已得到一定遏制,2019-02-10 19:07:36,,36氪讯，据国家版权局官方微博消息，近日来，经过多部门和权利人的联合行动，春节档院线电影的盗版传播已得到一定遏制，对严重的侵权盗版分子国家版权局将移交公安部门采取刑事手段予以严厉打击。,36Kr,未透露
北京互金协会首次公布逃废债借款人及机构名单,2019-02-06 18:00:01,http://www.bjp2p.com.cn/news/20190202001,近日，北京市互联网金融行业协会通过其官网及公众号发布《关于公示北京市网贷机构逃废债借款人及机构名单的公告》，对逃废债的个人或者名单进行公示。值得注意的是，这是北京互金协会首次公开网贷逃废债老赖名单。,36Kr,未透露
浙江大力促进自主创业，担保贷款可达50万元,2019-01-13 14:23:48,http://www.xinhuanet.com//2019-01/13/c_1123983164.htm,浙江省政府日前发布的《浙江省人民政府关于做好当前和今后一个时期促进就业工作的实施意见》指出，符合创业担保贷款申请条件的自主创业人员，可申请最高不超过50万元的创业担保贷款。（新华社）,新华社,未透露
国家邮政局：“春节期间快递停运”为假消息,2019-01-13 09:03:54,http://egs.stcn.com/news/detail?id=348353,经记者核实，近期流传“春节期间快递停运”系假消息。目前，邮政、顺丰、“三通一达”、百世等主要寄递企业尚未公布春节期间具体服务安排，但均表示不会停运。（e公司）,e公司,未透露
房租抵税引发房东恐慌，税务局：目前没有加强房租收入征管通知,2019-01-06 14:39:29,,1月6日，税务局人士表示，目前地方不大可能会通过房租专项附加扣除信息去查房东租金收入是否交税，税务总局也没有这方面加强征管的通知。（第一财经日报）,第一财经日报,未透露
新华社：2018年北京新增减税降费约400亿元,2019-01-06 13:50:54,,1月6日，北京市财政局发布的数据显示，2018年，在首都经济平稳运行的支撑下，北京市一般公共预算收入累计完成5785.9亿元，增长6.5%，完成预期目标。据统计，2018年，北京市新增减税降费约400亿元，其中地方级减税187.8亿元；累计109个PPP项目纳入财政部综合信息平台管理，总投资额2553.5亿元，落地率达88.7%；市级政府投资基金累计吸引社会资本2013亿元。（新华社）,新华社,未透露
2018年北京财政收入完成5785.9亿元，同比增长6.5%,2019-01-06 10:02:10,,1月6日，2018年北京市财政收入“出炉”，全市一般公共预算收入累计完成5785.9亿元，增长6.5%，完成年度预算任务。（新京报）,新京报,未透露
北京税务客服：房东是否补税暂无口径,2019-01-06 09:15:37,,2019年1月1日起，国家税务总局制订的《个人所得税扣缴申报管理办法（试行）》正式施行。其中，纳税人能否真正享受住房租金专项附加扣除的福利引起热议。有房东直言，将其个人出租信息上报给税务部门后，可能面临额外税负，租客则担心因此承担更高的租金。北京税务客服表示，是否让房东补税，目前暂无明确口径。（新浪财经）,新浪财经,未透露
最高法院知识产权法庭将于近期挂牌,2018-12-30 09:50:35,https://baijiahao.baidu.com/s?id=1621185191730302430&wfr=spider&for=pc,最高人民法院副院长、知识产权法庭庭长罗东川介绍，作为最高人民法院派出的常设审判机构，知识产权法庭已经完成了组建工作，近日将正式挂牌。罗东川表示，设立最高人民法院知识产权法庭，可实现知识产权效力判断与侵权判断两大诉讼程序和裁判标准的对接，从机制上解决制约科技创新的裁判尺度不统一等问题，提高知识产权审判质量效率。（新华网）,新华网,未透露
商务部：预计明年消费增速9%，对经济增长贡献率将达65%,2018-12-22 18:37:59,,22日下午，商务部市场运行司副司长王斌表示，2019年消费增长的目标是保持平稳持续的增长。他表示，据有关研究机构预测，2019年社会消费品零售总额将增长9%，对经济增长的贡献率将达65%，有望继续成为经济增长的第一引擎。（上海证券报）,上海证券报,未透露
