3,Valve解雇13名员工 涉及VR硬件团队,早先，有传言指Valve已将旗下VR团队裁掉一半。近日据国外媒体Variety报道，Valve承认他们在上个月解雇了一批员工，其中包括部分VR部门的成员。自2015年9月就在Valve担任VR工程师的Nat Brown也于今日发推特称自己在2月初已经离职，证实了这一消息。V社的一位发言人表示，确有13名全职雇员离开公司，相关雇佣合同终止。裁员纯属不得已为之的商业决策，不代表公司基本面有重大变化。V社感谢被解雇员工所做的贡献，并祝愿他们今后工作顺利。V社一直以来就对VR研究颇为重视，除了运营Steam商店和开发《Dota 2》等游戏之外，Valve一直是虚拟现实的推动力量。这家公司创建了广泛使用的SteamVR软件平台，并共同开发出2016年面世的HTC Vive头显。在2018年，Valve开始向开发者发货“Knuckles”控制器的最新迭代.另外在2018年11月，有传闻称这家公司正在设计一款全新的头显，以及基于《半条命》的VR作品。Variety在报道中指出这并不意味着Valve正在退出VR市场，但目前尚不清楚他们是否得到了Valve的明确证实，又或者只是根据“公司不存在任何重大变故”进行推测。Valve同时有可能退出硬件市场，但继续运营SteamVR软件商店。不过，好消息是Knuckles驱动已于上月进行了更新，而且Valve正在招募“VR与硬件”软件工程师。另外，Oculus和HTC都发布了2019年款头显。因此，如果Valve依然在坚持VR硬件项目，我们或许同样能在今年听到相关的消息。                            本文来自游民星空，本文观点不代表GameLook立场，转载请联系原作者。
3,2018年全球AR手游排行榜：《精灵宝可梦GO》领衔,Sensor Tower商店情报平台最新数据显示，2018年前11个月全球AR手游下载及收入TOP20。2018年Apple Store和Google Play都有多款AR游戏涌现。地图定位AR手游大作领航下载榜和收入榜，但在游戏数量方面，苹果ARKit手游领先。目前AR手游上榜门槛仍相对较低，下载榜和收入榜前五的准入门槛分别是500万次下载，及100万美元营收。详细榜单请看下图：                             本文来自游资网，本文观点不代表GameLook立场，转载请联系原作者。
3,IDC：2019年VR游戏产值将增长75%,2月11日消息，近日IDC发布了2019年VR/AR市场十大预测。IDC认为，目前行业应用正在进一步展开和深入，细分领域消费场景不断得到丰富，VR终端市场逐渐向拥有更佳体验的中高端产品形态过渡，产业生态发展更加成熟。具体看，IDC发布2019年VR/AR市场十大预测包括：1、观影一体机VR市场将继续增长，35%的VR一体机将被应用于家庭观影；2、5G网络将带动VR/AR安全巡检市场发展；3、未来65%的VR/AR设备将提供语音技术交互；4、手机AR内容生态更加丰富；5、2019年VR游戏市场将增长75%，线下体验店游戏收入占比整体VR游戏收入超过八成；6、到2023年，将会有超过10亿人次每年至少访问一个安装VR设备的消费场所；7、未来超过30%的展示类场景将通过租赁方式整合提供设备、软件、服务；8、商用市场权重进一步增长，特别在教育市场，受到政策倾斜和教育投入增大影响，预计超过1000所学校将采用VR/AR技术；9、VR推动跨区域协作，到2024年，7%的国内企业将以VR应用作为支持推动跨区域协作的解决方案；10、用AR硬件提升工作效率，到2024年，55%的中国大中型企业将为部分员工部署AR硬件，其关键驱动因素是提升工作效率。                             本文来自人民网，本文观点不代表GameLook立场，转载请联系原作者。
3,截至目前130万销量 PSVR问鼎2018年度最叫座VR设备,索尼对PSVR的大力扶持，包括了发行多款优秀VR游戏比如《Astro Bot》等的种种努力，如今终于开花结果。美国市场公司SuperData在推特上报道，PSVR以130万的销量问鼎2018年最叫座的VR设备。PSVR击败了Oculus Go和三星Gear VR，两者分别以110万和60万的销量居于二三名。这些数字说明了一件事，虽然PSVR正在引领整个业界市场，但假如整个VR市场的全年销量甚至比不上一款大作游戏，这个市场蛋糕还是太迷你了。然而，正如之前提到的《Astro Bot》，在过去的几个月里，VR系统拥有了不少品质高的游戏，并且在接下来的几个月里会加速游戏VR适配的进程，这是否意味着PSVR仍然是一个潜在庞大、有利可图的市场领军者还有待观察。                            本文来自3DM，本文观点不代表GameLook立场，转载请联系原作者。
3,巨头纷纷追逐眼球追踪技术 对VR有何意义,眼动跟踪允许开发人员通过集成系统资源来提高VR/AR体验，特别是优化用户眼睛看到的方位，也就是通过局部渲染功能将为VR体验带来一次质的飞跃。这不仅降低了虚拟现实的高门槛，也让创作者能够通过合理地使用资源创造出惊人的视觉效果。
3,iPhone 8 AR功能能否成为游戏规则改变者,对于AR增强现实的概念相信我们都已不陌生了，特别是苹果在今年WWDC大会上推出全新的AR开发平台ARkit之后，让我们看到了这一技术在未来的广阔前景。我们也有理由相信，随着下个月iPhone 8以及iOS 11的到来，能够让我们以一种全新的方式看待世界。
3,热潮过后 虚拟现实如今是喜还是忧？,当Facebook在2014年以20亿美元巨资收购Oculus后，三星于2015年发布了Gear VR，HTC在2016年发布了Vive，这看起来好像是虚拟现实世界在即将走向人们的日常生活了，似乎很快，人人都将拥有一台虚拟现实头盔，我们可以生活在一个虚拟的世界里，自由地乐在其中。然而，Oculus Rift、Gear VR和HTC Vive并没有完全成为家庭中的必备设备。同时有迹象表明，一些公司开始意识对虚拟现实技术感到失望。
3,VR未死：巨头入局 爆发期将至,短短两年间，过山车式变化出乎所有人意料，背后的原因耐人寻味。VR因其革命性的沉浸式体验而被认为是下一代计算平台和终端入口，但产业演进有其内在规律，无法速成，VR产业的现状，无论是硬件迭代、内容建设还是生态都无法满足市场期待。
3,火柴互娱领衔VR体验  引爆“网络文学+”大会新高潮,首届中国“网络文学+”大会将于今日在北京亦创国际会展中心开幕。本次大会由国家新闻出版广电总局、北京市政府指导，中共北京市委宣传部、中国音像与数字出版协会等多家单位主办。火柴互娱积极参与本次“网络文学+”大会展出筹备工作，独家承办了本次大会的VR展区，搭建了300平米超大展台，领衔6大区域互动体验！下面让我们走进火柴互娱展区，了解一下有哪些精彩内容！
3,Altspace关闭后 VR社交从业者何去何从,当我们谈论起VR的未来，不少开发者都会告诉你：VR的未来是社交，最近一家很早就布局VR社交的公司Altspace宣布由于资金链断裂要关闭其应用。他们说：“在剩下的几天享受和朋友的相处吧，然后使用其他方式，保持联系。”在目前，Altspace的发展几乎可以代表着VR社交的发展，然而其突如其来的关闭，让人深感迷惑，不得不质疑，VR的未来真的是社交吗？
