index,content
1,大姨吗获千万美元B轮融资红杉资本领投（TechWeb配图） 【TechWeb报道】9月11日消息，据相关媒体报道，经期管理应用“大姨吗”已经获得由红杉资本领投的千万美元B轮融资，A轮投资机构贝塔斯曼继续跟投 大姨吗创始人柴可证实了消息，并表示这轮融资在45天内全部敲定 柴可表示，这轮融资的钱将主要用于提高服务质量、扩大技术团队，特别是给用户的精准知识和解决问题用的专业知识，都需要进一步扩大专业妇科从业人员 同时，大姨吗也开始加大市场和品牌推广方面的投入 TechWeb了解到，大姨吗在近期已经做了包括免费班车等服务，联合护舒宝、知我药妆、万金香、美眷生理裤等厂家赠送免费班车乘客小礼品 柴可向TechWeb展示了自己的小创意 “原本只想做一个包装盒来装这些礼品，但这样又太浪费了，索性做了一个抽纸盒 ” 大姨吗的未来将定位于一家健康服务公司 因此除了扩展更多的服务平台外，他们已经开始准备女性健康媒体的业务线，拓展经期周边相关的业务 团队09年开始创业，到做大姨吗这款产品的22个月，已经有四年的时间，目前用户量已经超过1800万，在移动互联网中算得上是一个成功的产品，柴可表示，这主要得益于这今年把心思都用在产品上，“口碑传播是最好的推广方式 ” 8月底的时候，蔡文胜刚刚对大姨吗进行了数百万的A+轮投资，主要出于双方的战略合作考虑，因为美图秀秀与大姨吗的用户高度重叠且具有互补性 另一个红杉选择投资这个领域的原因在于，之前红杉通过投资乐蜂、美丽说、聚美等服务女性的公司积累了一定经验，未来他们希望能进一步完成女性消费资源的整合 目前，大姨吗已经开始进行了商业化的尝试，和瑞丽等女性时尚品牌合作推出女性时尚小常识，并收取广告费 不过，柴可对TechWeb表示，广告收入只能作为员工福利，而不能成为盈利模式，真正的盈利模式是为用户带去价值并让其为之付费，这需要与大数据结合为用户做更多个性化、精准的服务 （肖芳）
2,大姨吗""创始人柴可  “大姨吗”的基础功能是用户可以在上面记录自己的月经周期、性生活、体征等信息，应用会根据用户不同的生理阶段推送相关的保养知识   新浪科技沈云芳   柴可，27岁，性别男，月经周期App""大姨吗""的创始人，被朋友调侃为“国内最懂‘大姨妈’的人”，人送外号“大姨夫” 作为女性经期App的创业典型，“大姨吗”已经在思考如何将庞大的流量变现   最懂“大姨妈”的男人   创业近四年后，“海归”柴可的第三个创业项目“大姨吗”终于取得了“阶段性胜利” “大姨吗”的口号是“我们最懂大姨妈”，这个上线还不足一年的月经周期记录应用，已经累计了680万注册用户 如果按知名度来考虑，“大姨吗”无疑是该细分领域最成功的App 去年，徐小平成了“大姨吗”的天使投资人 近期，“大姨吗”完成了A轮融资，具体金额和估值不详   “大姨吗”之前，柴可先后做了健康类垂直社区“友乐活”和按摩类问答应用“按哪儿”，两者均以失败告终 对于这两个项目，柴可的总结是这样的：“人生病毕竟是一个低频次的事情，所以健康社区和问答类应用都不能算是特别刚需 ”那时候，柴可的不少朋友也一次次提醒他这个问题   “你这问答和按摩算什么刚需啊，比如女生的月经，一个月来一次，那才叫刚需 ”2011年7月的一次创业交流活动上，柴可的一位朋友随口说了这么一句 众所周知，女生月经虽然说不上高频次，但至少比生病频繁 这句无心之言点通了柴可，也成了“大姨吗”诞生的灵感 两个月后，柴可果断停掉了友乐活和“按哪儿”这两个项目，开始开发“大姨吗”   柴可的父亲是大学的古医学教授，同时拥有一家制药企业 柴可从小耳濡目染，这也是他一直坚持在健康领域创业的原因 不过，为了做好“大姨吗”，大学专业主修运营管理专业的柴可还需要“开外挂”自学女性月经知识 接受采访的时候，他经常会提到一些专业妇科术语，比如“黄体期”(指排卵后到月经来潮前一天的时间段)和“自然流产” 他被朋友笑称为“全国最懂‘大姨妈’的人”，也因此有了“大姨夫”的名号   柴可之外，“大姨吗”的女编辑们也需要花20%左右的时间去学习“干货”：去医院挂妇科号，然后和医生聊各种经期问题 “我们希望App上的内容不是从网上摘摘抄抄来的 ”   今年，“大姨吗”还会上线一个新网站，围绕月经问题打造一个经期知识库   “大姨吗”要赚钱   开局不错，柴可也在“大姨吗”上看到了商业化的希望 在他的设想中，商业化的第一个方向是广告，第二个是增值服务 作为拥有巨大用户数的App来说，广告是最容易变现的方式也最好理解，而增值服务的这条路，要走通显然还有难度   目前“大姨吗”已经签下了50万元左右的广告订单，广告预计将在七、八月上线，以底部导航栏形式呈现 未来，“大姨吗”也有可能和电商合作，在应用内设置电商促销等内容 这其实并非柴可接到的第一个广告主，早在去年就有一些日化企业找到柴可，希望以买断应用内各位置广告的形式与“大姨吗”合作 考虑到买断形式对内容的掣肘太大，柴可没有接受   让柴可犯愁的是增值服务这种变现模式 这种模式大概是这样的思路：“大姨吗”和厂商合作，在App内提供具体某款产品的使用指导(当然是比产品说明书更具体的内容)或者其他个性化建议 而用户如果恰巧正在使用这款产品，或者对这些内容感兴趣，就可以付费订阅   “现在的障碍主要在怎么将这些服务和‘大姨吗’本身的内容结合好，让用户能够接受 ”柴可说 前一个项目“按哪儿”的经验告诉他，用户在为健康服务这件事上付费的意愿极低 “按哪儿”2011年曾积累了16万注册用户，但在测试付费问答时，几乎没有用户买账   但是这一步迟早要走，何况“大姨吗”目前的各项运营指标都优于“按哪儿” 如果不出意外，“大姨吗”增值服务的尝试可能在今年年底进行   四年另类生存   垂直类社区“友乐活”和“按哪儿”没有给柴可的团队带来一分钱收入，但总共投入的成本大概有140万 四年中，整个团队运转依靠帮助别人做网站和App来赚钱维持运营   从2010年到现在，柴可的团队大概接了15-20个建站和App制作的外包活，每个活的报酬是5-10万元 “大概一两个月就接一个，一个月流水大概七八万，够我们发工资了，哈哈哈 ”说起创业的窘迫，柴可显然很豁达 A轮融资前，柴可和另外两个合伙人的月薪是2500元，融资后他们自我犒劳，将月薪提到了8000元左右   但不是谁都能一直忍受筚路蓝缕的创业状态 2011年前，柴可的团队最壮大的时候是18个人，眼看着“友乐活”和“按哪儿”商业化遥遥无期，多数人选择了离开，最终只剩下四个人 2011下半年，“大姨吗”3个月内迅速获得了25万注册用户 那时候，尽管团队已然能够依靠外包活维持运转，但成员们对于融资和自我权益的期待已经非常强烈 最终，得不到明确融资消息和股份保障的6个核心员工离开了“大姨吗”   这次团队动荡也是柴可至今遗憾的事情，在融资这件事上，他始终觉得“大姨吗”不应该早早融资，而应在拥有更高议价权时再引入 对于第二个问题，柴可的反思是应该早点明确员工的持股权益 因此，去年获得徐小平的天使投资时，柴可拿出了自己15%的股权作为员工期权池   “没有融资前，我们不敢快跑，没法打硬仗 比如大公司做一个，然后很高的营销费用来推广，随便一下可能就把我们搞死了 融资后，我们至少有了打硬仗的基础，今年在推广上的费用会增加 ”和所有创业者一样，融资至少让柴可多了一丝安全感 "
3,新浪科技讯10月21日下午消息，女性健康管理App大姨吗今天宣布获得海通开元投资有限公司、汤臣倍健及创始人柴可追投的投资，总额共计1.3亿人民币   据介绍，大姨吗是全球用户量最大的垂直女性健康分类手机软件 经过三年多的发展，大姨吗已经实现了工具+社区+电商商业闭环，赢得了用户、行业及投资机构的认同和青睐   此次战略入股大姨吗的海通开元投资有限公司(简称“海通开元”)是经中国证监会审核通过的海通证券股份有限公司(股票代码：600837)全资设立的直接股权投资公司，目前管理金额将近200亿元人民币 作为海通证券的专业股权投资平台，海通开元已完成对超过100家企业的投资，并成功帮助多家企业登陆中国资本市场 此次入股大姨吗，也引发大姨吗未来上市可能性的猜想   本轮投资中，大姨吗创始人及CEO柴可亦有不小份额的回投 此次柴可增持股份，表达了其对大姨吗平台布局及未来发展的信心 柴可表示，个人回投不仅可以给大姨吗注入资金，随着公司一系列围绕大健康生态圈战略计划的推出，相信持续高速发展的大姨吗还会给每一个投资人、股东、员工带来丰厚的回报   另外，这部分投资还包括今年7月国内A股上市公司汤臣倍健对大姨吗的战略入股部分 双方强强联合后，进行了资源互补，目前正在进行女性健康产品深度合作，未来将给用户带来更为个性化和完整的健康体验   大姨吗今年先后获得两轮战略入股后，未来，大姨吗将会联合汤臣倍健、海通开元等企业，加快商业化及资本发展进程，共同完成移动互联网和其他的外部资源的整合和嫁接，带动女性大健康产业的创新发展 (李林)
4,新浪科技讯11月18日下午消息，美食菜谱分享网站豆果宣布完成2500万美元的C轮融资，估值达到3亿美元 从今年年初开始，豆果美食开始加大对美食周边领域的开拓，并且开始试水美食电商领域   “工具”—“社区”—“电商引流”的商业逻辑和交易模式，早已被投资界认可 2014年，辣妈帮、美啦美妆获得2000万美金融资，美柚、大姨吗获得3000万美金融资，均可证明该模式的热度   据介绍，豆果美食以食谱为核心，将“食谱、社群、电商”三者形成相互支持的三角结构，并优化底层数据结构，使用户上传的食谱数据内容更加标准化，每块结构数据均可与智能设备连接，也都能与豆果美食电商平台中的商品匹配，并实现点击购买   目前豆果美食电商平台“优食汇“已上线，销售与厨房相关的食材、食品及用具等 据了解，“优食汇”已上线超百种商品，年内将达到日流水20万元   豆果美食CEO王宇翔透露，豆果美食APP下载量已超过7500万，预计年内将突破1亿   资料显示，豆果美食创办于2008年，由王宇翔及7K7K前副总裁朱虹共同创办，2011年6月获得盛大千万元人民币投资 2012年有消息称豆果美食完成第二轮800万美元融资，投资方为纪源资本 (林明)
5,大姨吗创始人、CEO柴可 【TechWeb报道】6月10日消息，近日，女性健康管理应用大姨吗在京宣布，完成3000万美元C轮融资 大姨吗创始人、CEO柴可在发布会上透露，大姨吗已经在积极开展商业化的尝试，之前，大姨吗已经与多家女性健康用品厂商达成深度独家合作，进行电商精准渠道的投放销售 此外，大姨吗还将开启女性垂直电商、推进健康增值服务以及进行精准广告推广服务，借助大姨吗平台上所积累下来的大数据，来进行全面商业化 探索自建女性电商 据大姨吗提供的数据，大姨吗注册用户已超过4500万人，日活跃用户数达320万人，以兴趣话题形成的匿名社交社区，为大姨吗提供了具有粘性的用户及相当高的用户活跃率 而这样一个有着流量及社区用户价值的女性健康管理应用，为电商导流便成为了其流量变现的好选择 实际上，此前，大姨吗已经联合各类女性健康电商品牌做过几轮促销活动，其中“Latin智能健康秤”在跳转页面未作移动适配的情况下仍然卖出了300台，这让柴可觉得非常欣喜：“这说明我们的流量价值是非常大的，而且女性市场也是非常值得挖掘的 ” 但是，柴可却拒绝与第三方电商合作，选择了自建电商 “我们现在正在自建女性健康品类的电商，而且卖的东西你在别处买不到，都是我们研制或开发的女性喜欢且独特的用品 ”柴可说 据了解，大姨吗的自有电商团队仅仅只有12个人，做的事情也都比较轻量级 柴可称，大姨吗的自建电商将于年内上线，而此自建电商也只是对于此方向的初步探索 作为商业化的一环，这也仅仅柴可以大姨吗为基础，对女性电商的初步试水 用三至五年的时间强化增值服务 大姨吗作为一款工具型的健康管理应用，能够发挥的作用实际上远不止记录、分析及反馈 对于女性健康的增值服务发展和提升，将会是大姨吗未来重点发展的商业化道路 在柴可的思维中，他认为现在所研发出来的各类健康检测穿戴设备发挥的作用仍然不大，对于重点性、专业性的医疗检测数据，一个简单的手环或是手表是无法获取的 “所以我认为，‘硬+软’的增值服务模式还需要三到五年的发展期，未来小型硬件设备将会对医疗有辅助价值 而今年大姨吗也会有一个初步的、小型的硬件设备面世 ” 除了硬+软的增值服务模式，柴可还希望与各类顶级、专业的妇科、产科医生对大姨吗的各类产品进行深度的构架，从而为用户提供更加详细、具体的服务 “这里面可能会包括美容、形体、医疗等等各个方面，甚至我们还会为用户提供健康类金融保险服务，把大姨吗的服务范围扩大化，让这些硬件、或是产品及服务，为我们收集更多的用户健康数据，以扩大我们的数据库，让我们的反馈更加专业化 ”柴可说 借助用户信息精准推送导流广告 对于应用来说，广告收入是基础而可靠的收入方式 据了解，在此之前，“大姨吗”的的广告通常都是资源置换，并没有进行广告模式的商业化 柴可曾经提到，大姨吗的很大一部分成本在于市场的推广，如今大姨吗获取一个用户的成本是2至3块钱，相比较国内第三方应用市场的烧钱血拼战，这样的价格其实并不算高，但柴可依然觉得贵 如今大姨吗所拥有超过4500万注册用户、以及320万的日活用户，更是一笔优质的目标广告群体，对于美妆、电商、奢侈品等等女性品牌来说，这将是一个巨大的精准广告投放机会 “在匿名以及保护用户隐私的基础上，我们希望能够借助我们所拥有的用户信息，来为品牌做精准的广告导流，毕竟现在越来越多的女性品牌都在做品牌广告，而大姨吗的用户又是他们优质的目标客户 用户数据的收集与分析，是我们的和核心优势，也是大姨吗商业化的核心资本，通过数据深入挖掘用户潜在需求，做到更懂用户，从而实现基于大数据的精准化营销 ”柴可说 以美国、日本女性经期应用作为创业基础，大姨吗如今在国内30多个同类竞品中起到着带头发展的作用 总计达4500万美元的融资，让大姨吗有着更加深厚的发展基础 如今，大姨吗已经顺利地走上了商业化道路，柴可对商业化也有着清醒的认识与方向的把握 “我们希望把大姨吗做成女孩子必不可少的东西，就像耳环和项链一样 同样，也希望大姨吗的商业化能够稳健地发展，走出一个成熟完善的商业模式 ”柴可说 （安东）
6,国内最大的整形美容O2O平台悦美网近日宣布获得数百万美元A轮融资，投资方为策源创投 据其项目负责人介绍，此笔投资将用于企业团队建设、移动端产品升级研发以及市场推广 继医疗健康类应用纷纷获得风投青睐之后，医疗行业最市场化的细分领域--医疗美容(俗称整形美容)行业或将掀起新一轮的投资风潮   行业数据显示，2014年国内医疗美容行业营收将超过1000亿人民币，同时这个行业还在以每年超过30%的速度增长 世界第一整形美容大国美国，整形人口渗透率为3.8%，而作为排名第三的整形大国中国，渗透率不足0.5%，更无法与文化接近的韩国相比 中国的医疗美容业拥有巨大的增长空间   长期以来，传统整形美容行业存在诸多问题 一方面，从业机构和医生素质良莠不齐，非法行医、资质混乱、假冒伪劣、虚假宣传、过度营销、信息不对称和不透明等现象，造成消费者选择服务的效率低下，用户体验差，纠纷众多；而另一方面，医疗美容机构的用户获取成本居高不下，用于投放搜索引擎以及广告宣传的费用占比畸高，推广渠道单一，也成为机构运营诸多不合理现象的诱发因素   悦美网2012年2月正式上线，是较早进入医疗美容行业的互联网团队 早期定位专业媒体和互动门户，内容为专业知识+医患互动+求美者分享社区 如今该模式已被众多后进者效仿 从2013年9月开始，为进一步解决行业痛点，让消费者和服务方有效对接，悦美网全面开辟O2O模式 通过建设消费者和医学编辑结合的评价体系，收集和筛选消费线索，甄选口碑医院和医生，提供专业咨询服务等方式，让消费者更安全有效地选择适合自己的医院和医生 到目前为止，累积消费超过2000人次，促成交易额超过3000万   与其他同类平台的发展轨迹不同，悦美网早期在资本市场上并未有实质性的动作，而是一直致力于医疗整形机构、医生等相关资源的积累 据悦美方面提供的数据显示，目前平台已注册认证1125名专业整形医生，约占医美领域从业医生的10%；完成2158家医疗整形机构的认证，累计已有近6万求美者通过悦美网提问，100%获得了医生的解答 目前，悦美网在PC端、移动触屏、微信等平台保持着绝对领先地位，之前运营的两个APP产品也将合并升级为一个全新的APP""悦美"" 下一步悦美的目标是拓展移动市场，加强移动产品在服务型O2O领域的作用，进一步完善消费者体验   今年6月份，策源创投曾领投移动应用""大姨吗""，创下女性健康管理融资新高 策源也是国内最大医患平台好大夫在线的投资人之一 策源创投表示，医疗美容同时具有医疗服务的严肃性和风险性，也有消费行业的市场前景 悦美网拥有和好大夫类似的专业度和服务理念，同时能够建设自身的消费转化能力，这些特点是投资人看好悦美团队的重要原因 分析认为，随着悦美网成功融资，整形美容业将逐步走向正规化、产业化，继而改变行业格局，带动行业升级 "
7,新浪科技讯12月8日上午消息，女性助手“美柚”今日对外宣布完成D轮融资，由凯辉基金旗下中法创新基金领投、经纬创投跟投，具体金额未公布 此前，这家厦门创业公司曾获得SIG领投的3500万美金C轮融资   美柚以女性经期记载管理工具起家，一直以来都以“工具+社区”的思路运营 直到今年7月，才在产品中上线电商版块“柚子街”，希望通过“工具”引流，“社区”维持活跃度并引入广告模式，“电商”实现盈利，搭建起商业闭环   美柚创始人陈方毅对外表示：“经期、八卦和购物是女生生活中十分重要的三种内容 我们没有做模块间强硬的过度，而是基于女性最天然的需求来设置自己的功能，所以，用人群切割或许是最合理的一条路径 ”   陈方毅还表示，下一步将继续做用户价值深挖：一方面由经期管理向孕期、育儿延伸；另一方面扩散到减肥、健身等领域   据美柚方面提供的数据，13年产品上线至今，平台已经积累了超过1亿注册用户，日活跃用户过500万 电商模块推出后，十月底日订单过10万，目前购买转化率在15%~20%   值得一提的是，以女性经期管理切入女性健康市场的创业项目在今年继续高歌猛进 今年10月，总部位于北京的女性健康管理App大姨吗宣布获得总额共计1.3亿元的新一轮投资   美柚成立于2013年4月，总部位于厦门 创立之初获险峰华兴数百万元A轮投资，2014年1月获险峰华兴和经纬中国1500万美元B轮投资，2014年6月获SIG、经纬中国和险峰华兴3500万美元C轮投资 （李根）
8,大姨吗CEO柴可：美柚这个小怪物给我们平添了乐趣 【TechWeb报道】6月26日消息，今日，柴可发表文章称近日收到很多电话询问其对竞争对手“美柚”拿到3500万美元融资一事的看法 柴可在文中表示，美柚拿到融资是好事，说明女性经期管理APP的前景被广泛认可 同时柴可还把“美柚”比喻为“小怪物”，称美柚为他们“平添了很多乐趣，也让同事们有了更多的动力 ”还指出“虽然它时不时的给你捣捣乱、找找麻烦，其实也都是些抄点设计、刷刷差评、吐吐口水之类 虽然我相信这个小怪物以后还会继续捣乱 ” 在文中最后，柴可写道，“你要一天自己给自己造一亿个用户都是可以的，但是更重要的是，一年以后，两年以后，甚至五年以后，有多少真的人在使用你的服务和产品 ”（安东） 以下为柴可文章全文： 有钱了，应该去做点有意义的事 大姨爹发布于2014年6月26日11:51 昨天早上，好几个电话找我，大概问的事情都是一个，我对美柚每次在大姨吗拿到融资后同样拿到融资，每次大姨吗公布数据后都公布数据怎么看？昨天在一个会上，聊得都不多，这里再做一次统一回复并感谢大家对我们长久以来的关怀 1，对于美柚拿到融资，我认为是好事，说明女性经期管理APP的前景被广泛认可 同时也说明，这个领域可以想象的空间依然很大 融资不是目的，只是一个阶段性的成果 对于大姨吗来说，完成了C轮融资更多意味着投资人对我们前两年坚持不懈创新的认可，大姨吗2011年底上线以来，开创了一个新的商业方向，但其实未来几年才是真正的考验，虽然我们比较精准地切入了女性的用户需求，但之前粗犷的发展模式已经不再适用，大姨吗未来会把事情做得更细，解决更多用户真正的痛点 2，有竞争才有动力 在两年多的创业路上，前一年半走得比较孤独，要去独自开拓和培育市场，第二年有了美柚这个小怪物的陪伴，平添了很多乐趣，也让同事们有了更多的动力 虽然它时不时的给你捣捣乱、找找麻烦，其实也都是些抄点设计、刷刷差评、吐吐口水之类 虽然我相信这个小怪物以后还会继续捣乱，但是其实我更多希望看到的是更多类似活法儿的月来月好、美国的glow这样的优质产品、有灵魂的创业团队，一起来培育市场的需求，解决用户的问题，优化用户的体验 3，大姨吗时至今日的规模依然很小，创业路上我和我的团队还很稚嫩，但是因为资金上充裕了，我们可以做一些大胆的尝试了 有钱了，我觉得应该去做点有意义的事情，还有那么多好姑娘受到痛经的困扰，怎么能真的帮到她们，这才是我们要做的事情 懂女人更要爱护女人，大姨吗要做得不只是简简单单的记录 最后，昨天我的公关团队告诉我，美柚那边发布的新闻很凑巧的融资金额比我们高了五百万，注册人数多了五百万，问我如何应对 我告诉他们，在机房里，你要一天自己给自己造一亿个用户都是可以的，但是更重要的是，一年以后，两年以后，甚至五年以后，有多少真的人在使用你的服务和产品
9,为追逐浪潮而生——专访美柚创始人兼CEO陈方毅 初创公司报道2014/07/01 6月刚完成3500万美元C轮融资的女性健康管理应用App美柚，是曾经的大学生创业者陈方毅的第二次创业 这位1986年天蝎座O型血的创业者，出生于福建莆田 他是家里的老大，下面还有一个弟弟 跟大多数认为的排行第一的孩子更稳重不同，陈方毅从小就比较叛逆 他说，转专业、创业，都是他自己做的决定 2005年，陈方毅考入华侨大学时的专业本是生物工程，但到大二时，他转到计算机专业 在转专业时他便有了自己的考量 他在2010年12月作为大学生创业代表接受中央电视台《奋斗》栏目的专访时说，生物工程专业想要达到一定水平，必须要学到十分顶尖的东西，但网络创业成本很低，只要执行力好就可以做 2008年，还在念大三的陈方毅创立了一家导购网站——返还网，并成立厦门灵感方舟信息科技有限公司 返还网在2011年会员数超过420万，为电商带去的销售额达4亿 2013年4月，陈方毅推出基于手机的应用美柚，并成立厦门美柚信息科技有限公司 其主要功能除了经期记录和预测外，还有备孕、怀孕、育儿等功能，还有一个女性社区“她她圈” 美柚可以根据用户在工具App的记录和社区里的行为分析用户的身体状况，提供减肥、美容、养生等方面的建议，制定个性化的健康任务 截至目前，美柚拥有10大类共近百个高活跃的社交圈子，用户日均发帖量210万帖，社区日均浏览量超过一亿次，其中爱情、时尚、美食等话题用户参与度居高 美柚在2014年1月获得由经纬创投领投的1500万美元B轮融资 时隔仅5月，便获得由海纳亚洲创投基金(SIG)领投的3500万美元C轮融资 目前美柚最大的竞争对手，是同为女性健康管理，也已经完成3000万美元C轮融资的App大姨吗，美柚与大姨吗长期雄踞Health&Fitness免费栏榜首 有趣的是，这两款为女性经期提供服务的App，都是由男性创业者创立 作为一名男性，为何会选择在女性经期上大做文章，与其之前的创业经历有什么逻辑关系？陈方毅选择动点科技来作回应  B轮的时候，“创始人陈方毅及其团队同时跟投500万美元”是怎么回事？ 因为这不是我们第一次创业，所以大家都有一些积蓄 所以在进行B轮融资的时候，我们创始团队都拿了自己的钱出来跟投，提高团队的持股比例，我们对美柚的发展有信心 我们现在的高管团队还是第一次创业时的那些人 为什么要将美柚改为一个社区？ 我们主要是通过用户调查 一开始做女性产品的时候，我们就要求每个产品经理去了解用户需求 在用户调查的过程中，产品经理就发现用户有在美柚上面发帖、分享的需求 你作为一个男性从哪些渠道了解女性的需求？ 途径还挺多的 像我会在聚餐的时候就叫上几个女生 跟她们聊一下这个产品和生理期方面的问题（到后来，女生都不爱和我一起吃饭了） 我也会经常去看用户反馈 一开始用户的反馈主要是说好不好用，再往后用户就会在反馈中对新功能提出一些改进的建议 那你怎么会在女性需求里创业？ 我们公司会进行头脑风暴 一些女生就提到女性经期这个点 我们一直想在垂直领域创业，因为BAT过于强大 女性就是最大的一个垂直市场 结果我们正好找到经期这样一个切入点来做 美柚跟你此前的创业有什么逻辑关系？ 我们对自己的定位是科技公司，希望都走在每次科技浪潮的前面，因此我每做一个项目之前都会研究趋势 返还网是赶上2008年到2013年的电商潮 美柚则是现在的移动互联网大潮 这个市场有多大？ 我们是通过用户的需求点来开发产品，用户的需求点越多，市场越大 所以你会看到我们的增长比较快 美柚在2013年9月有1000万用户，2014年1月增长到用户3000万 到2014年6月用户就突破了5000万 你是怎样说服投资者的？ 我们一开始就把产品想得很清楚，所以跟投资人讲的时候，投资人听得懂是怎么回事 我们从最初拿A轮融资的时候，就是一个比较顺利的过程 我们的A轮融资就是我们团队原来的投资人，险峰华兴 《理财周报》报道说，有知情人说你一度想关掉公司去大公司打工？ 没有想过，不知道谁爆料的 我比较幸运，大学开始赶上了电商的浪潮，整个过程还是比较顺利的 但我觉得大学生创业可能要面临的一个问题是一开始就自己带团队，眼光可能会被限制住 因为自己创业不像在大公司工作，会有经验丰富的人带着前进 从我自己的直接经验和观察别人经历获得的间接经验来看，我觉得大学生创业的最大风险是眼界的停滞，钱倒不是问题 就算赔钱了，那能赔多少，好歹是个试错的过程 你在创业过程中遇到过哪方面的问题？ 就是在做返还网的时候，不知道怎么推广 但大部分还算顺利，后来返还网变成了第二大的返利网站 现在来做美柚，都是第二次创业，比较有经验了 美柚上线时间比大姨吗晚，但在 AppStore的排名却比大姨吗高，是怎么做到的？ 我们不关心竞争对手，产品一直是我们整个公司的重心，只做好自己就好了 市场很大，足以支撑很多产品来探索女性市场 会做硬件吗？如果做，是怎样的形式？ 从我们目前收集到的反馈来看，用户是有用可穿戴设备需求的 根据我们现在得到的反馈来看，在备孕的人希望记录体温；减肥的人会希望记录体重 所以我们会根据用户的需求来推动硬件计划 你们团队现在男女比例是怎样的情况？ 我们团队总共150人左右，市场方面有一部分在北京，其余都在厦门 产品团队就有50多人，负责产品、运营的女性比较多 技术团队还是以男性为主
10,5月15日报道（文/陆满红） 近日，北京星空互娱文化有限公司旗下原创星座漫画品牌“星座不求人”创始人王宏一向猎云网（微信：ilieyun）透露，“星座不求人”完成了1000万元天使轮融资，投资方为英诺天使基金，资金主要用于内容的生产制作以及人才的引进 其实，“星座不求人”做星座内容相对较晚，在开始做时就已经有“星座小王子”、“星座秘语”、“同道大叔”等微博大号在这一领域俘获大批粉丝 面对这一情况，王宏一告诉猎云网，“星座不求人”另辟蹊径选择从短视频着手，再通过优质的PGC内容输出来吸引粉丝 通过将星座、漫画、音乐、视频混搭，“星座不求人”用特有的星座漫画MV形态来进行内容输出 据了解，至今为止“星座不求人”发布了《十二星座一起撸》《狮子座之歌》《摩羯座之歌》《十二星座谁最傻》《天蝎座之歌》《十二星座谁最懒》等原创视频节目 在王宏一看来，短视频是一个很好的媒介，可以作为内容的入口，进而更好的完成IP孵化 顺势而为进而引领趋势是王宏一在创业过程中总结的经验，他也从这方面总结出了星座不求人的发展计划：王宏一表示，通过短视频、直播平台、影视剧、衍生品等使动漫形象向下延伸，逐步养成为一线的动漫IP，并通过VR/AR等技术，培养虚拟偶像 王宏一还透露，“星座不求人”目前正在计划筹备开设线下的“蛋壳”品牌服装店  王宏一告诉猎云网，为了满足用户对内容趣味性和内容量的需求，“星座不求人”已经决定由周播改为日播模式 此外，“星座不求人”已经与微博、微信、优酷、爱奇艺等社交视频、交视频媒体建立了合作，利用自己的内容优势提升双方的影响力和用户粘性 同时，星座不求人”也与大姨吗、今日头条、百思不得姐、内涵段子等平台展开了深入合作 关于盈利，王宏一表示，传统的电视节目的盈利方式“星座不求人”都可以进行操作，具体包括广告以及内容衍生品、IP衍生品 王宏一进一步解释道，广告主要包括植入以及冠名；内容衍生品主要有舞台剧、话剧、游戏、网剧、网络综艺，甚至是网络电影和大电影；IP相关的衍生品包括服装、公仔等生活用品的售卖 此外，王宏一还透露，“星座不求人”以后也会有关于电商方面的盈利 猎云网了解到，从2015年7月发布第一部短片至今，“星座不求人”最高单支视频播放量已超过6600万次，总播放量已超过6.5亿次；同时，在9个月的时间里，“星座不求人”微博粉丝数从零增长到100万 据悉，“星座不求人”的创始团队拥有丰富的互联网从业经验和内容运营经历，核心团队配备有资深占星师、资深动漫人士和IP商业化人才 王宏一是一个连续创业者，从19岁就已经开始创业，创建过可可西音乐网、好听音乐网、手机拍照图片分享社区”拍秀“等项目 项目：星座不求人 公司：北京星空互娱文化有限公司
